seed,data_noise_std,Choquet_Weight_train_acc,Choquet_Weight_test_acc,Choquet_Weight_train_f1,Choquet_Weight_test_f1,Choquet_Weight_train_auc,Choquet_Weight_test_auc,Choquet_Power_train_acc,Choquet_Power_test_acc,Choquet_Power_train_f1,Choquet_Power_test_f1,Choquet_Power_train_auc,Choquet_Power_test_auc,Choquet_Weight_TN3_train_acc,Choquet_Weight_TN3_test_acc,Choquet_Weight_TN3_train_f1,Choquet_Weight_TN3_test_f1,Choquet_Weight_TN3_train_auc,Choquet_Weight_TN3_test_auc,Choquet_Weight_TN6_train_acc,Choquet_Weight_TN6_test_acc,Choquet_Weight_TN6_train_f1,Choquet_Weight_TN6_test_f1,Choquet_Weight_TN6_train_auc,Choquet_Weight_TN6_test_auc,Choquet_Power_TN3_train_acc,Choquet_Power_TN3_test_acc,Choquet_Power_TN3_train_f1,Choquet_Power_TN3_test_f1,Choquet_Power_TN3_train_auc,Choquet_Power_TN3_test_auc,Choquet_Power_TN6_train_acc,Choquet_Power_TN6_test_acc,Choquet_Power_TN6_train_f1,Choquet_Power_TN6_test_f1,Choquet_Power_TN6_train_auc,Choquet_Power_TN6_test_auc,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,LogisticRegression_train_auc,LogisticRegression_test_auc
0,0.5,0.9975614712456817,0.39531079607415487,0.9975615522219415,0.33372505599775987,0.9999580338703016,0.465016006402561,0.9727697622434465,0.39585605234460197,0.9727710441489996,0.3138523672236288,0.9981235852953325,0.37282412965186074,0.9756147124568177,0.3964013086150491,0.9755988514842444,0.32942657123309516,0.9982220570012391,0.37339185674269704,0.9300955090428774,0.390948745910578,0.9298315941429762,0.2846364448326757,0.9976469227591904,0.37294917967186875,0.9707376549481813,0.390948745910578,0.9707102784765229,0.32792953412083453,0.9976566707971913,0.37228516406562623,0.9370046738467791,0.3904034896401309,0.9368235923861246,0.2903493351672247,0.9962942585708385,0.3716061424569828,1.0,0.37404580152671757,1.0,0.3480420743374871,1.0,0.3889393257302921
0,2.5,1.0,0.5169029443838604,1.0,0.5129352483073715,1.0,0.44904586834733895,1.0,0.430752453653217,1.0,0.4378046223010455,1.0,0.4067639555822329,0.994106888843731,0.5512540894220284,0.9941061262927414,0.4929480201638067,1.0,0.3964673369347739,0.9778500304816095,0.3920392584514722,0.9778470393859926,0.36941658761202656,1.0,0.4062675070028012,0.9912619386303597,0.5648854961832062,0.9912600445270684,0.48736737770023997,1.0,0.3899672368947579,0.9973582605161553,0.4127589967284624,0.9973583541318517,0.41663363630328054,1.0,0.39009228691476594,1.0,0.6161395856052344,1.0,0.5249938508714426,1.0,0.46796843737495
0,0.05,0.9886201991465149,0.3767720828789531,0.988619780777014,0.3256677994981254,0.9994722841800908,0.41159213685474183,0.9378175167648852,0.38113413304252997,0.9378101674977287,0.2920158135377351,0.9909926476662536,0.3587947679071629,0.9481812639707377,0.3745910577971647,0.9481565246596844,0.29865975394655403,0.9915709211069805,0.3561987294917967,0.909164803901646,0.3942202835332606,0.9087053646809209,0.27798286898786817,0.9892373399421728,0.3644470288115246,0.9437106279211542,0.3724100327153762,0.9436656567295797,0.3022395912305545,0.9902017348203221,0.3560061524609844,0.9179028652712863,0.3865866957470011,0.9177339876508006,0.2849135506029379,0.986896654275093,0.3624537314925971,1.0,0.3980370774263904,1.0,0.3781259516302183,1.0,0.355249599839936
0,0.0,0.9902458849827271,0.3887677208287895,0.9902461138163797,0.34823950816250604,0.999592565055762,0.4266619147659064,0.9481812639707377,0.38386041439476554,0.9481780113886616,0.29845166579054466,0.9939061544816192,0.36792216886754703,0.9565129038813249,0.376226826608506,0.9564999971452391,0.30297870390167675,0.9942742668318877,0.3668029711884754,0.9152611257874416,0.3920392584514722,0.9148022313958082,0.2761064324864301,0.9931173895084675,0.37242146858743497,0.951839057102215,0.3756815703380589,0.9518122868616811,0.3069363544071935,0.9931819909128459,0.36594762905162065,0.9260312944523471,0.39585605234460197,0.9258219284068279,0.29604583235793835,0.991138703015283,0.3702706082432973,1.0,0.4116684841875682,1.0,0.39262547721657487,1.0,0.3707795618247299
1,0.0,0.9956,0.703907203907204,0.9955999971839982,0.6992557209795468,0.99986,0.6939030831661775,0.982,0.778998778998779,0.9819990668316246,0.7809685306168516,0.99879584,0.8459214790772045,0.9806,0.7667887667887668,0.9805960873950624,0.76613617332798,0.99863744,0.8464560583792513,0.9556,0.7796092796092796,0.9555259667452829,0.7828919981427419,0.9986320000000001,0.8467496780555995,0.9762,0.7606837606837606,0.9761906657886157,0.7588034188034188,0.99806592,0.8484204378443847,0.964,0.7851037851037851,0.9639733460403346,0.7875832181045875,0.99758224,0.850115134019829,1.0,0.6562881562881563,1.0,0.6589116287133243,1.0,0.7561472630337615
1,0.05,0.9936,0.7045177045177046,0.993599917054925,0.6995144000837037,0.99979648,0.7067840507068415,0.9724,0.7777777777777778,0.9723954772749966,0.7798562537935921,0.99804848,0.8499380047585536,0.9762,0.7710622710622711,0.9761957257045076,0.7708678621027831,0.99788016,0.850807693473824,0.9406,0.7692307692307693,0.9404197698036562,0.7728114735314338,0.99779456,0.8502443905077864,0.972,0.7686202686202687,0.9719920950489066,0.767132104667479,0.99706784,0.8527066468154233,0.9498,0.778998778998779,0.949710442344144,0.7816651252619582,0.99628064,0.8537039962595406,1.0,0.6666666666666666,1.0,0.6690886297082961,1.0,0.7694112127609665
1,2.5,1.0,0.572039072039072,1.0,0.5751448698552217,1.0,0.6096741300320269,1.0,0.5286935286935287,1.0,0.4964815773781502,1.0,0.6759874956316094,0.9998,0.6208791208791209,0.9997999999920001,0.6262165806259479,1.0,0.6832003268114659,1.0,0.5396825396825397,1.0,0.5095875749021334,1.0,0.6848343841407076,0.9992,0.6367521367521367,0.9991999994879996,0.6426719450096331,1.0,0.6915381681642866,1.0,0.6019536019536019,1.0,0.597835409356188,1.0,0.6962185296356403,1.0,0.4139194139194139,1.0,0.3793847226586247,1.0,0.5730753948306979
1,0.5,1.0,0.6886446886446886,1.0,0.6836779177849551,1.0,0.6658895319798105,0.9956,0.7362637362637363,0.9955999887359711,0.7329275983434694,0.99996384,0.8269016262381096,0.9896,0.7167277167277167,0.9895988750143216,0.7043620456802427,0.99995776,0.8264835373511357,0.9764,0.7478632478632479,0.9763868484190956,0.7483931827981928,0.9999366399999999,0.8289346233449983,0.985,0.7155067155067155,0.9849966242404542,0.699042983765206,0.9998912,0.8287878135068243,0.9836,0.7472527472527473,0.9835965985906838,0.7456776483425623,0.99977216,0.8327899773561782,1.0,0.6929181929181929,1.0,0.6889633441453653,1.0,0.7401003094176914
2,0.0,0.9872,0.6461538461538462,0.9871997521872022,0.6555405953791869,0.99911904,0.6358182627341507,0.9688,0.6946745562130178,0.9687942281804443,0.7011832540242546,0.99698816,0.7538811344418821,0.9688,0.6952662721893491,0.9687894333505552,0.6945651438091827,0.99700368,0.7544653477363759,0.9472,0.685207100591716,0.9470860784434455,0.6947843435106795,0.9959369600000001,0.755588461382854,0.9358,0.6597633136094675,0.9355342955740096,0.6716168780094008,0.99804048,0.7470113686936117,0.9558,0.6946745562130178,0.9557740995436569,0.6920541035017951,0.99412992,0.7611506250758587,1.0,0.6467455621301775,1.0,0.6545323658519976,1.0,0.691371930250435
2,2.5,1.0,0.6550295857988165,1.0,0.6016070370184949,1.0,0.5860387587490392,1.0,0.5568047337278107,1.0,0.5718045297791119,1.0,0.6345381721082656,0.9998,0.6798816568047338,0.9997999999920001,0.6607711171730484,1.0,0.6397313589836954,0.9996,0.563905325443787,0.9995999999359999,0.5783661994273879,1.0,0.6469134603714043,0.9986,0.46331360946745564,0.9985999972559947,0.46319691804726304,1.0,0.6299000687785734,0.9996,0.7035502958579881,0.9995999999359999,0.6772381919400582,1.0,0.6645547598818627,1.0,0.49881656804733726,1.0,0.5159491995144047,1.0,0.543620989602298
